"concept","from_var","to_var","from_years","to_years","gap_years","label_from","label_to","label_similarity","codes_equal","drift","drift_detail","name_flag","suggested_status","suggested_comparable","confidence","rationale"
"crgvrel","CRGVREL2","CRGVREL3","2017-2018","2019-2019",1,"RELATIONSHIP OF PERSON TO WHOM YOU ARE G","RELATIONSHIP OF PERSON TO WHOM YOU ARE G",1,TRUE,"label-wording-differs","code 8: 'Same-sex partner' -> 'Live-in partner'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"crgvrel","CRGVREL3","CRGVREL4","2019-2019","2020-2023",1,"RELATIONSHIP OF PERSON TO WHOM YOU ARE G","RELATIONSHIP OF PERSON TO WHOM YOU ARE G",1,FALSE,"code-set-differs","only in CRGVREL3: {16}; only in CRGVREL4: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvrel","CRGVREL4","CRGVREL5","2020-2023","2024-2024",1,"RELATIONSHIP OF PERSON TO WHOM YOU ARE G","RELATIONSHIP OF PERSON TO WHOM YOU ARE G",1,FALSE,"code-set-differs","only in CRGVREL4: {15,13,9,10,11,14,12}; only in CRGVREL5: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"csrvctl","CSRVCTL1","CSRVCTL2","2012-2018","2019-2024",1,"IS PAIN UNDER CONTROL?","IS PAIN UNDER CONTROL?",1,TRUE,"label-wording-differs","code 1: 'Yes, with medication (or treatment)' -> 'With medication (or treatment)' | code 4: 'No, without medication (or treatment)' -> 'Not under control, without medication (or treatment)' | code 3: 'No, with medication (or treatment)' -> 'Not under control, with medication (or treatment)' | code 2: 'Yes, without medication (or treatment)' -> 'Without medication (or treatment)'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"csrvdoc","CSRVDOC","CSRVDOC1","2009-2010","2012-2024",2,"WHAT TYPE OF DOCTOR PROVIDES MAJORITY OF","WHAT TYPE OF DOCTOR PROVIDES MAJORITY OF",1,TRUE,"label-wording-differs","code 5: 'Internist' -> 'General Practitioner, Internist'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"csrvtrt","CSRVTRT","CSRVTRT1","2009-2010","2012-2016",2,"CURRENTLY RECEIVING TREATMENT FOR CANCER","CURRENTLY RECEIVING TREATMENT FOR CANCER",1,FALSE,"code-set-differs","only in CSRVTRT: {}; only in CSRVTRT1: {4,3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"csrvtrt","CSRVTRT1","CSRVTRT2","2012-2016","2017-2018",1,"CURRENTLY RECEIVING TREATMENT FOR CANCER","CURRENTLY RECEIVING TREATMENT FOR CANCER",1,FALSE,"code-set-differs","only in CSRVTRT1: {}; only in CSRVTRT2: {5}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"csrvtrt","CSRVTRT2","CSRVTRT3","2017-2018","2019-2024",1,"CURRENTLY RECEIVING TREATMENT FOR CANCER","CURRENTLY RECEIVING TREATMENT FOR CANCER",1,TRUE,"label-wording-differs","code 5: 'Treatment was not needed' -> 'Treatment was not necessary'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"cstate","CSTATE","CSTATE1","2011-2015","2016-2024",1,"ARE YOU A RESIDENT OF [STATE]?","DO YOU CURRENTLY LIVE IN  ____(STATE)___",0.29,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"cvdcrhd","CVDCRHD2","CVDCRHD3","2001-2004","2005-2006",1,"EVER TOLD HAD CORONARY HEART DISEASE","ANGINA OR CORONARY HEART DISEASE",0.43,TRUE,"label-wording-differs","code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"cvdcrhd","CVDCRHD3","CVDCRHD4","2005-2006","2007-2024",1,"ANGINA OR CORONARY HEART DISEASE","EVER DIAGNOSED WITH ANGINA OR CORONARY H",0.25,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"cvdexr","CVDEXR02","CVDEXR03","1996-2000","2001-2004",1,"ARE YOU EXERCISING MORE","RED HRT ATTK RISK: PHYS ACTIVITY",0,FALSE,"code-set-differs","only in CVDEXR02: {}; only in CVDEXR03: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cvdinfr","CVDINFR2","CVDINFR3","2001-2004","2005-2006",1,"EVER TOLD HAD MYOCARDIAL INFARCTION","EVER DIAGNOSED WITH HEART ATTACK",0.11,TRUE,"label-wording-differs","code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"cvdstrk","CVDSTRK2","CVDSTRK3","2001-2004","2005-2024",1,"EVER TOLD HAD STROKE","EVER DIAGNOSED WITH A STROKE",0.33,TRUE,"label-wording-differs","code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"denstr","_DENSTR","_DENSTR2","1996-2001","2002-2012",1,"DENSITY STRATUM","HOUSEHOLD DENSITY STRATUM CODE",0.5,FALSE,"code-set-differs","only in _DENSTR: {}; only in _DENSTR2: {3,9}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"diabage","DIABAGE","DIABAGE2","1993-1999","2000-2018",1,"AGE WHEN TOLD DIABETIC","AGE WHEN TOLD HAD DIABETES",0.5,FALSE,"code-set-differs","only in DIABAGE: {}; only in DIABAGE2: {98}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"diabedu","DIABEDU","DIABEDU1","2000-2021","2022-2024",1,"EVER TAKEN CLASS IN MANAGING DIABETES","WHEN WAS THE LAST TIME YOU TOOK A COURSE",0,FALSE,"code-set-differs","only in DIABEDU: {}; only in DIABEDU1: {3,8,5,6,4}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"diabeye","DIABEYE","DIABEYE1","2000-2021","2022-2024",1,"EVER TOLD DIABETES HAS AFFECTED EYES","WHEN WAS THE LAST TIME A THEY TOOK A PHO",0,FALSE,"code-set-differs","only in DIABEYE: {}; only in DIABEYE1: {4,8,3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"drnkany","DRNKANY2","DRNKANY3","2001-2001","2002-2004",1,"DRINK IN LAST 30 DAYS","CONSUMED ALCOHOL IN PAST 30 DAYS",0.29,FALSE,"code-set-differs","only in DRNKANY2: {8}; only in DRNKANY3: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"drnkany","DRNKANY3","DRNKANY4","2002-2004","2005-2010",1,"CONSUMED ALCOHOL IN PAST 30 DAYS","DRINK ANY ALCOHOLIC BEVERAGES IN PAST 30",0.22,TRUE,"label-wording-differs","code 9: 'Refused/Missing' -> 'Refused' | code 7: 'Do not know/Not Sure' -> 'Don’t know/Not Sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"drnkany","DRNKANY4","DRNKANY5","2005-2010","2011-2021",1,"DRINK ANY ALCOHOLIC BEVERAGES IN PAST 30","DRINK ANY ALCOHOLIC BEVERAGES IN PAST 30",1,TRUE,"label-wording-differs","code 9: 'Refused' -> 'Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"drnkdy","_DRNKDY2","_DRNKDY3","2002-2004","2005-2010",1,"NUMBER OF ALCOHOL DRINKS PER DAY","COMPUTED NUMBER OF DRINKS OF ALCOHOL BEV",0.43,TRUE,"label-wording-differs","code 9900: 'Do not know/Not sure/Refused/Missing' -> 'Don’t know/Not sure/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"drnkloc","DRNKLOC","DRNKLOC1","2003-2004","2008-2008",4,"WHERE WERE YOU WHEN YOU BINGE DRANK","WHERE WERE YOU WHEN YOU BINGE DRANK",1,TRUE,"label-wording-differs","code 1: 'At your home, for example, your house, apartment, condominium, or dorm room' -> 'At your home, for example, your house, apartment, or dorm room' | code 7: 'Do not know/Not Sure' -> 'Don’t know/Not Sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"drnkmo","_DRNKMO","_DRNKMO2","1985-2001","2002-2004",1,"TOTAL NUMBER DRINKS A MONTH","NUMBER OF ALCOHOL DRINKS PER MONTH",0.5,TRUE,"label-wording-differs","code 0: 'NONE' -> 'Did not drink in the past month' | code 9999: 'UNK/REF' -> 'Do not know/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"drnkmo","_DRNKMO2","_DRNKMO3","2002-2004","2005-2010",1,"NUMBER OF ALCOHOL DRINKS PER MONTH","COMPUTED TOTAL NUMBER DRINKS A MONTH",0.43,TRUE,"label-wording-differs","code 9999: 'Do not know/Refused/Missing' -> 'Don’t know/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"ecignow","ECIGNOW","ECIGNOW1","2016-2020","2021-2021",1,"DO YOU NOW USE E-CIGARETTES, EVERY DAY,","DO YOU NOW USE E-CIGARETTES, EVERY DAY,",1,FALSE,"code-set-differs","only in ECIGNOW: {}; only in ECIGNOW1: {4}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"ecignow","ECIGNOW1","ECIGNOW2","2021-2021","2022-2023",1,"DO YOU NOW USE E-CIGARETTES, EVERY DAY,","DO YOU NOW USE E-CIGARETTES, OR VAPING P",0.6,TRUE,"label-wording-differs","code 1: 'Every day' -> 'Never used e-cigarettes in your entire life' | code 3: 'Not at all' -> 'Use them some days' | code 2: 'Some days' -> 'Use them every day' | code 4: 'Never used e-cigs' -> 'Not at all (right now)'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"ecignow","ECIGNOW2","ECIGNOW3","2022-2023","2024-2024",1,"DO YOU NOW USE E-CIGARETTES, OR VAPING P","DO YOU NOW USE E-CIGARETTES, OR VAPING P",1,TRUE,"label-wording-differs","code 4: 'Not at all (right now)' -> 'Used them in the past but do not currently use them at all'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"employ","EMPLOY","EMPLOY1","1985-2012","2013-2024",1,"EMPLOYMENT STATUS","EMPLOYMENT STATUS",1,TRUE,"label-wording-differs","code 3: 'Out of work for more than 1 year' -> 'Out of work for 1 year or more' | code 4: 'Out of work for less that 1 year' -> 'Out of work for less than 1 year'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"exerany","EXERANY","EXERANY2","1985-2000","2001-2024",1,"PARTICIPATE IN ANY PHYSICAL ACTIVITY","EXERCISE IN PAST 30 DAYS",0,FALSE,"code-set-differs","only in EXERANY: {}; only in EXERANY2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"exteth","_EXTETH2","_EXTETH3","2006-2016","2018-2024",2,"RISK FACTOR FOR HAVING HAD PERMANENT TEE","RISK FACTOR FOR HAVING HAD PERMANENT TEE",1,TRUE,"label-wording-differs","code 2: 'At risk' -> 'Yes' | code 1: 'Not at risk' -> 'No'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"facilit","FACILIT2","FACILIT3","1998-2001","2002-2002",1,"KIND OF PLACE YOU GO TO MOST OFTEN","KIND OF PLACE YOU GO TO MOST OFTEN",1,FALSE,"code-set-differs","only in FACILIT2: {}; only in FACILIT3: {6,7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"fallinj","FALLINJ","FALLINJ2","2003-2003","2006-2016",3,"INJURED IN FALL IN PAST THREE MONTHS","INJURED IN FALL",0.4,FALSE,"code-set-differs","only in FALLINJ: {1,2,7,9}; only in FALLINJ2: {77,88,99}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"fallinj","FALLINJ4","FALLINJ5","2020-2020","2023-2023",3,"INJURED IN FALL","INJURED IN FALL OR HAD TO SEE DOCTOR",0.4,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"firearm","FIREARM3","FIREARM4","2001-2001","2002-2017",1,"FIREARMS IN HOME","ANY FIREARMS IN HOME",0.67,FALSE,"code-set-differs","only in FIREARM3: {8}; only in FIREARM4: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"firearm","FIREARM4","FIREARM5","2002-2017","2021-2024",4,"ANY FIREARMS IN HOME","ANY FIREARMS IN HOME",1,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"flshot","_FLSHOT2","_FLSHOT3","2004-2004","2005-2009",1,"RISK FACTOR FOR RESPONDENTS AGED 65+ THA","FLU SHOT CALCULATED VARIABLE",0,TRUE,"label-wording-differs","code 1: 'Not at risk' -> 'Yes' | code 2: 'At risk' -> 'No' | code 9: 'Do not Know/Not Sure Or Refused/Missing' -> 'Don’t know/Not Sure Or Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"flushot","FLUSHOT2","FLUSHOT3","2004-2004","2005-2009",1,"HAD FLU SHOT IN PAST 12 MONTHS","FLU SHOT PAST 12 MOS",0.57,TRUE,"label-wording-differs","code 7: 'Do not know/Not Sure' -> 'Don’t know/Not Sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"fruit","FRUIT","FRUIT1","1990-2009","2011-2015",2,"HOW OFTEN DO YOU EAT FRUIT","HOW MANY TIMES DID YOU EAT FRUIT?",0.44,FALSE,"code-set-differs","only in FRUIT: {}; only in FRUIT1: {300}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"fruit","FRUIT1","FRUIT2","2011-2015","2017-2021",2,"HOW MANY TIMES DID YOU EAT FRUIT?","HOW MANY TIMES DID YOU EAT FRUIT?",1,TRUE,"label-wording-differs","code 300: 'Less than one time per month' -> 'Less than once a month'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"fruitju","FRUITJU1","FRUITJU2","2011-2015","2017-2021",2,"HOW MANY TIMES DID YOU DRINK 100 PERCENT","HOW MANY TIMES DID YOU DRINK 100 PERCENT",1,TRUE,"label-wording-differs","code 300: 'Less than one time per month' -> 'Less than once a month'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"fvgreen","FVGREEN","FVGREEN1","2011-2015","2017-2021",2,"HOW MANY TIMES DID YOU EAT DARK GREEN VE","HOW MANY TIMES DID YOU EAT DARK GREEN VE",1,TRUE,"label-wording-differs","code 300: 'Less than one time per month' -> 'Less than once a month'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"hadhyst","HADHYST","HADHYST2","1988-2000","2001-2024",1,"EVER HAD A HYSTERECTOMY","HAD HYSTERECTOMY",0.67,FALSE,"code-set-differs","only in HADHYST: {}; only in HADHYST2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"hadpap","HADPAP","HADPAP2","1988-2003","2004-2020",1,"EVER HAD A PAP SMEAR TEST","EVER HAD A PAP TEST",0.8,TRUE,"label-wording-differs","code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"hadsigm","HADSIGM","HADSIGM2","1999-2000","2001-2003",1,"EVER HAD A SIGMOIDOSCOPY/COLONOSCOPY","EVER HAD A SIGMOIDOSCOPY/COLONOSCOPY",1,FALSE,"code-set-differs","only in HADSIGM: {}; only in HADSIGM2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"hadsigm","HADSIGM2","HADSIGM3","2001-2003","2004-2019",1,"EVER HAD A SIGMOIDOSCOPY/COLONOSCOPY","EVER HAD SIGMOIDOSCOPY/COLONOSCOPY",1,TRUE,"label-wording-differs","code 7: 'Do not know/Not Sure' -> 'Don’t know/Not Sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"height","HEIGHT","HEIGHT2","1985-2003","2004-2004",1,"REPORTED HEIGHT IN FEET AND INCHES","REPORTED HEIGHT IN FEET AND INCHES",1,FALSE,"code-set-differs","only in HEIGHT: {777,999}; only in HEIGHT2: {9999,7777}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"height","HEIGHT2","HEIGHT3","2004-2004","2005-2024",1,"REPORTED HEIGHT IN FEET AND INCHES","REPORTED HEIGHT IN FEET AND INCHES",1,TRUE,"label-wording-differs","code 7777: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"hivrisk","HIVRISK","HIVRISK2","1996-2001","2002-2010",1,"ANY HIGH RISK SITUATIONS APPLY","DO ANY HIGH RISK SITUATIONS APPLY",0.83,FALSE,"code-set-differs","only in HIVRISK: {8}; only in HIVRISK2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"hivrisk","HIVRISK3","HIVRISK4","2011-2012","2016-2016",4,"DO ANY HIGH RISK SITUATIONS APPLY","DO ANY HIGH RISK SITUATIONS APPLY",1,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"hivtst","HIVTST4","HIVTST5","2004-2004","2005-2010",1,"EVER TSTD FOR HIV OTHR THAN BLOOD DONATN","EVER TESTED HIV",0.22,TRUE,"label-wording-differs","code 7: 'Do not know/Not Sure' -> 'Don’t know/Not Sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"hivtst","HIVTST6","HIVTST7","2011-2018","2019-2024",1,"EVER TESTED HIV","EVER TESTED H.I.V.",0.33,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"howsafe","HOWSAFE","HOWSAFE1","1996-1999","2017-2024",18,"HOW SAFE IS NEIGHBORHOOD FROM CRIME","NEIGHBORHOOD SAFE FROM CRIME",0.67,FALSE,"code-set-differs","only in HOWSAFE: {}; only in HOWSAFE1: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"hpvadvc","HPVADVC2","HPVADVC3","2010-2018","2019-2019",1,"EVER HAD THE HPV VACCINATION?","EVER HAD THE HPV VACCINATION?",1,FALSE,"code-set-differs","only in HPVADVC2: {3}; only in HPVADVC3: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"hpvadvc","HPVADVC3","HPVADVC4","2019-2019","2020-2024",1,"EVER HAD THE HPV VACCINATION?","EVER HAD AN H.P.V. VACCINATION?",0.43,FALSE,"code-set-differs","only in HPVADVC3: {}; only in HPVADVC4: {3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"htin","HTIN","HTIN2","2001-2002","2003-2003",1,"Reported height in inches.","REPORTED HEIGHT IN INCHES.",1,FALSE,"code-set-differs","only in HTIN: {99}; only in HTIN2: {999}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"htin","HTIN2","HTIN3","2003-2003","2004-2010",1,"REPORTED HEIGHT IN INCHES.","COMPUTED HEIGHT IN INCHES",0.5,TRUE,"label-wording-differs","code 999: 'Do Not Know/Refused' -> 'Don’t know/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"htm","HTM2","HTM3","2003-2003","2004-2010",1,"REPORTED HEIGHT IN METERS.","COMPUTED HEIGHT IN METERS",0.5,TRUE,"label-wording-differs","code 999: 'Do not know/Refused/Missing' -> 'Don’t know/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"imfvpla","IMFVPLA1","IMFVPLA2","2019-2020","2021-2021",1,"WHERE DID YOU GET YOUR LAST FLU SHOT/VAC","WHERE DID YOU GET YOUR LAST FLU SHOT/VAC",1,FALSE,"code-set-differs","only in IMFVPLA1: {}; only in IMFVPLA2: {12}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"imfvpla","IMFVPLA2","IMFVPLA3","2021-2021","2022-2022",1,"WHERE DID YOU GET YOUR LAST FLU SHOT/VAC","WHERE DID YOU GET YOUR LAST FLU SHOT/VAC",1,FALSE,"code-set-differs","only in IMFVPLA2: {12}; only in IMFVPLA3: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"imfvpla","IMFVPLA3","IMFVPLA4","2022-2022","2023-2023",1,"WHERE DID YOU GET YOUR LAST FLU SHOT/VAC","WHERE DID YOU GET YOUR LAST FLU SHOT/VAC",1,TRUE,"label-wording-differs","code 11: 'A drive though location at some other place than listed above' -> 'A school' | code 10: 'A school' -> 'Received vaccination in Canada/Mexico'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"imfvpla","IMFVPLA4","IMFVPLA5","2023-2023","2024-2024",1,"WHERE DID YOU GET YOUR LAST FLU SHOT/VAC","WHERE DID YOU GET YOUR LAST FLU SHOT/VAC",1,FALSE,"code-set-differs","only in IMFVPLA4: {}; only in IMFVPLA5: {12}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"income","INCOME2","INCOME3","1996-2020","2021-2024",1,"INCOME LEVEL","INCOME LEVEL",1,FALSE,"code-set-differs","only in INCOME2: {}; only in INCOME3: {11,10,9}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"incomg","_INCOMG","_INCOMG1","2003-2020","2021-2024",1,"COMPUTED INCOME CATEGORIES","COMPUTED INCOME CATEGORIES",1,FALSE,"code-set-differs","only in _INCOMG: {}; only in _INCOMG1: {6,7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"insulin","INSULIN","INSULIN1","1993-2018","2019-2024",1,"NOW TAKING INSULIN","NOW TAKING INSULIN",1,FALSE,"code-set-differs","only in INSULIN: {}; only in INSULIN1: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"jointrt","JOINTRT","JOINTRT2","2001-2001","2002-2007",1,"SEEN DOC FOR JOINT SYMPTOMS","TREATED FOR JOINT SYMPTOMS",0.5,FALSE,"code-set-differs","only in JOINTRT: {8}; only in JOINTRT2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"landsex","LANDSEX","LANDSEX1","2019-2021","2022-2022",1,"ARE YOU MALE OR FEMALE?","ARE YOU MALE OR FEMALE?",1,FALSE,"code-set-differs","only in LANDSEX: {}; only in LANDSEX1: {3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"landsex","LANDSEX1","LANDSEX2","2022-2022","2023-2023",1,"ARE YOU MALE OR FEMALE?","ARE YOU MALE OR FEMALE?",1,FALSE,"code-set-differs","only in LANDSEX1: {3}; only in LANDSEX2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"lastden","LASTDEN2","LASTDEN3","1999-2004","2005-2016",1,"HOW LONG SINCE LAST DENTIST VISIT","LAST VISITED DENTIST OR DENTAL CLINIC",0.22,TRUE,"label-wording-differs","code 1: 'Within the past year (< 12 months ago)' -> 'Within the past year (anytime less than 12 months ago)' | code 2: 'Within the past 2 years (1 year but < 2 years ago)' -> 'Within the past 2 years (1 year but less than 2 years ago)' | code 3: 'Within the past 5 years (2 years but < 5 years ago)' -> 'Within the past 5 years (2 years but less than 5 years ago)' | code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"lastden","LASTDEN3","LASTDEN4","2005-2016","2018-2024",2,"LAST VISITED DENTIST OR DENTAL CLINIC","LAST VISITED DENTIST OR DENTAL CLINIC",1,TRUE,"label-wording-differs","code 3: 'Within the past 5 years (2 years but less than 5 years ago)' -> 'Within the past 5 years (2 years but < 5 years ago)' | code 1: 'Within the past year (anytime less than 12 months ago)' -> 'Within the past year (anytime < 12 months ago)' | code 2: 'Within the past 2 years (1 year but less than 2 years ago)' -> 'Within the past 2 years (1 year but < 2 years ago)'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"lastpap","LASTPAP","LASTPAP2","1988-2003","2004-2020",1,"WHEN WAS LAST PAP SMEAR","HOW LONG SINCE LAST PAP TEST",0.22,TRUE,"label-wording-differs","code 1: 'Within the past year (< 12 months ago)' -> 'Within the past year (anytime less than 12 months ago)' | code 2: 'Within the past 2 years (1 year but < 2 years ago)' -> 'Within the past 2 years (1 year but less than 2 years ago)' | code 3: 'Within the past 3 years (2 years but < 3 years ago)' -> 'Within the past 3 years (2 years but less than 3 years ago)' | code 4: 'Within the past 5 years (3 years but < 5 years ago)' -> 'Within the past 5 years (3 years but less than 5 years ago)' | code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"lastsig","LASTSIG2","LASTSIG3","2001-2007","2008-2019",1,"TIME SINCE LAST SIGMOIDOSCOPY/COLONOSCOP","TIME SINCE LAST SIGMOIDOSCOPY/COLONOSCOP",1,FALSE,"code-set-differs","only in LASTSIG2: {}; only in LASTSIG3: {6}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"lastsig","LASTSIG3","LASTSIG4","2008-2019","2021-2024",2,"TIME SINCE LAST SIGMOIDOSCOPY/COLONOSCOP","TIME SINCE LAST SIGMOIDOSCOPY/COLONOSCOP",1,FALSE,"code-set-differs","only in LASTSIG3: {6}; only in LASTSIG4: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"lastsmk","LASTSMK","LASTSMK1","2001-2003","2009-2010",6,"TIME SINCE LAST SMOKED REGULARLY","INTERVAL SINCE LAST SMOKED",0.5,FALSE,"code-set-differs","only in LASTSMK: {}; only in LASTSMK1: {8}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"lstblds","LSTBLDS2","LSTBLDS3","2001-2007","2008-2019",1,"TIME SINCE LAST BLOOD STOOL TEST","TIME SINCE LAST BLOOD STOOL TEST",1,FALSE,"code-set-differs","only in LSTBLDS2: {}; only in LSTBLDS3: {5}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"lstblds","LSTBLDS3","LSTBLDS4","2008-2019","2020-2020",1,"TIME SINCE LAST BLOOD STOOL TEST","HOW LONG SINCE YOU HAD BLOOD STOOL TEST?",0.4,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"medcost","MEDCOST","MEDCOST1","1991-2020","2021-2024",1,"COULD NOT SEE DR. BECAUSE OF COST","COULD NOT AFFORD TO SEE DOCTOR",0.38,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"nobcuse","NOBCUSE","NOBCUSE2","2002-2002","2004-2006",2,"REASON NOT USING BIRTH CONTROL","WHAT IS MAIN REASON FOR NOT USING BIRTH",0.44,FALSE,"code-set-differs","only in NOBCUSE: {17,18}; only in NOBCUSE2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"nobcuse","NOBCUSE2","NOBCUSE3","2004-2006","2010-2010",4,"WHAT IS MAIN REASON FOR NOT USING BIRTH","WHAT IS MAIN REASON FOR NOT USING BIRTH",1,FALSE,"code-set-differs","only in NOBCUSE2: {}; only in NOBCUSE3: {17}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"nobcuse","NOBCUSE3","NOBCUSE4","2010-2010","2011-2011",1,"WHAT IS MAIN REASON FOR NOT USING BIRTH","WHAT WAS MAIN REASON FOR NOT DOING ANYTH",0.45,FALSE,"code-set-differs","only in NOBCUSE3: {}; only in NOBCUSE4: {18}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"nobcuse","NOBCUSE4","NOBCUSE6","2011-2011","2017-2017",6,"WHAT WAS MAIN REASON FOR NOT DOING ANYTH","WHAT WAS MAIN REASON FOR NOT DOING ANYTH",1,FALSE,"code-set-differs","only in NOBCUSE4: {}; only in NOBCUSE6: {19}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
